year_month,reason,count
2019-05,"It contains threats, lewdness or hate speech",125
2019-05,It violates ApartmentRatings' privacy standards,110
2019-05,"It was posted by a competitor, ex-employee or evicted resident",209
2019-05,It was posted by someone affiliated with the community,96
2019-05,It's for the wrong community,36
2019-06,It contains false information,173
2019-06,It contains irrelevant information that is not useful,44
2019-06,It contains promotional materials,10
2019-06,"It contains threats, lewdness or hate speech",130
2019-06,It violates ApartmentRatings' privacy standards,97
2019-06,"It was posted by a competitor, ex-employee or evicted resident",145
2019-06,It was posted by someone affiliated with the community,135
2019-06,It's for the wrong community,65
2019-07,It contains false information,160
2019-07,It contains irrelevant information that is not useful,47
2019-07,It contains promotional materials,7
2019-07,"It contains threats, lewdness or hate speech",148
2019-07,It violates ApartmentRatings' privacy standards,80
2019-07,"It was posted by a competitor, ex-employee or evicted resident",137
2019-07,It was posted by someone affiliated with the community,144
2019-07,It's for the wrong community,89
2019-08,It contains false information,136
2019-08,It contains irrelevant information that is not useful,45
2019-08,It contains promotional materials,8
2019-08,"It contains threats, lewdness or hate speech",103
2019-08,It violates ApartmentRatings' privacy standards,99
2019-08,"It was posted by a competitor, ex-employee or evicted resident",175
2019-08,It was posted by someone affiliated with the community,114
2019-08,It's for the wrong community,44
2019-09,It contains false information,138
2019-09,It contains irrelevant information that is not useful,36
2019-09,It contains promotional materials,3
2019-09,"It contains threats, lewdness or hate speech",74
2019-09,It violates ApartmentRatings' privacy standards,80
2019-09,"It was posted by a competitor, ex-employee or evicted resident",127
2019-09,It was posted by someone affiliated with the community,75
2019-09,It's for the wrong community,37
2019-10,It contains false information,173
2019-10,It contains irrelevant information that is not useful,43
2019-10,It contains promotional materials,4
2019-10,"It contains threats, lewdness or hate speech",158
2019-10,It violates ApartmentRatings' privacy standards,79
2019-10,"It was posted by a competitor, ex-employee or evicted resident",168
2019-10,It was posted by someone affiliated with the community,61
2019-10,It's for the wrong community,75
2019-11,It contains false information,127
2019-11,It contains irrelevant information that is not useful,24
2019-11,It contains promotional materials,22
2019-11,"It contains threats, lewdness or hate speech",69
2019-11,It violates ApartmentRatings' privacy standards,66
2019-11,"It was posted by a competitor, ex-employee or evicted resident",98
2019-11,It was posted by someone affiliated with the community,28
2019-11,It's for the wrong community,16
2019-12,It contains false information,125
2019-12,It contains irrelevant information that is not useful,48
2019-12,It contains promotional materials,86
2019-12,"It contains threats, lewdness or hate speech",58
2019-12,It violates ApartmentRatings' privacy standards,43
2019-12,"It was posted by a competitor, ex-employee or evicted resident",111
2019-12,It was posted by someone affiliated with the community,70
2019-12,It's for the wrong community,26
2020-01,It contains false information,221
2020-01,It contains irrelevant information that is not useful,43
2020-01,It contains promotional materials,42
2020-01,"It contains threats, lewdness or hate speech",111
2020-01,It violates ApartmentRatings' privacy standards,59
2020-01,"It was posted by a competitor, ex-employee or evicted resident",182
2020-01,It was posted by someone affiliated with the community,61
2020-01,It's for the wrong community,57
2020-02,It contains false information,189
2020-02,It contains irrelevant information that is not useful,18
2020-02,It contains promotional materials,35
2020-02,"It contains threats, lewdness or hate speech",106
2020-02,It violates ApartmentRatings' privacy standards,99
2020-02,"It was posted by a competitor, ex-employee or evicted resident",156
2020-02,It was posted by someone affiliated with the community,91
2020-02,It's for the wrong community,48
2020-03,It contains false information,113
2020-03,It contains irrelevant information that is not useful,22
2020-03,It contains promotional materials,3
2020-03,"It contains threats, lewdness or hate speech",85
2020-03,It violates ApartmentRatings' privacy standards,46
2020-03,"It was posted by a competitor, ex-employee or evicted resident",109
2020-03,It was posted by someone affiliated with the community,61
2020-03,It's for the wrong community,24
2020-04,It contains false information,137
2020-04,It contains irrelevant information that is not useful,16
2020-04,It contains promotional materials,3
2020-04,"It contains threats, lewdness or hate speech",89
2020-04,It violates ApartmentRatings' privacy standards,61
2020-04,"It was posted by a competitor, ex-employee or evicted resident",114
2020-04,It was posted by someone affiliated with the community,73
2020-04,It's for the wrong community,22
2020-05,It contains false information,109
2020-05,It contains irrelevant information that is not useful,49
2020-05,It contains promotional materials,9
2020-05,"It contains threats, lewdness or hate speech",67
2020-05,It violates ApartmentRatings' privacy standards,45
2020-05,"It was posted by a competitor, ex-employee or evicted resident",106
2020-05,It was posted by someone affiliated with the community,98
2020-05,It's for the wrong community,23
2020-06,It contains false information,88
2020-06,It contains irrelevant information that is not useful,22
2020-06,It contains promotional materials,195
2020-06,"It contains threats, lewdness or hate speech",116
2020-06,It violates ApartmentRatings' privacy standards,56
2020-06,"It was posted by a competitor, ex-employee or evicted resident",90
2020-06,It was posted by someone affiliated with the community,44
2020-06,It's for the wrong community,46
2020-07,It contains false information,119
