class,rank,token,weight
It was posted by someone affiliated with the community,14,excellent,1.0761789923535177
It was posted by someone affiliated with the community,15,quiet,1.0203304821420989
It was posted by someone affiliated with the community,16,perfect,1.014055169705912
It was posted by someone affiliated with the community,17,ve,1.0129696591395212
It was posted by someone affiliated with the community,18,awesome,0.9646046135221221
It was posted by someone affiliated with the community,19,beautiful,0.9633781163049437
It was posted by someone affiliated with the community,20,maintained,0.9571247242867663
It was posted by someone affiliated with the community,21,clean,0.9186137437565437
It was posted by someone affiliated with the community,22,team,0.9081406486535382
It was posted by someone affiliated with the community,23,wonderful,0.8792168456843776
It was posted by someone affiliated with the community,24,center,0.8280400518768293
It was posted by someone affiliated with the community,25,easy,0.8162096015039998
It's for the wrong community,1,moved,1.0933235792835898
It's for the wrong community,2,39,0.9950267093152211
It's for the wrong community,3,parking,0.9238138880672715
It's for the wrong community,4,water,0.8942986885888798
It's for the wrong community,5,44,0.8931856367375844
It's for the wrong community,6,days,0.8747903577182968
It's for the wrong community,7,bad,0.8364581129526423
It's for the wrong community,8,br,0.8312645460619681
It's for the wrong community,9,lot,0.8063400263138303
It's for the wrong community,10,major,0.7799281348911035
It's for the wrong community,11,street,0.771137314119396
It's for the wrong community,12,bugs,0.7648753393873255
It's for the wrong community,13,mold,0.7440162777741453
It's for the wrong community,14,night,0.7254996480598032
It's for the wrong community,15,bed,0.6597460407428599
It's for the wrong community,16,walls,0.6486473388399191
It's for the wrong community,17,cheap,0.626765749372261
It's for the wrong community,18,dirty,0.6152770021511951
It's for the wrong community,19,34,0.6003750236681056
It's for the wrong community,20,treat,0.5986347800569856
It's for the wrong community,21,hear,0.597366883086363
It's for the wrong community,22,fact,0.5942089814713627
It's for the wrong community,23,noise,0.5742795097841067
It's for the wrong community,24,landlords,0.5683578099215433
It's for the wrong community,25,week,0.5669710837415051
It's influenced by COVID-19 / conavirus,1,covid,3.1978863707307865
It's influenced by COVID-19 / conavirus,2,terrible,2.153117286706739
It's influenced by COVID-19 / conavirus,3,renewal,1.737709569452628
It's influenced by COVID-19 / conavirus,4,screws,1.7033387820231016
It's influenced by COVID-19 / conavirus,5,options,1.6515687252918985
It's influenced by COVID-19 / conavirus,6,pay,1.6297508544692352
It's influenced by COVID-19 / conavirus,7,disregard,1.59907920076414
It's influenced by COVID-19 / conavirus,8,construction,1.5947458209655303
It's influenced by COVID-19 / conavirus,9,community,1.540971390612442
It's influenced by COVID-19 / conavirus,10,constant,1.408792843178689
